Unnamed: 0,id,type,boatClass,make,model,length_ft,beam_ft,dryWeight_lb,hullMaterial,numEngines,engineCategory,length_m,beam_m,Area_m2
1,7016498,power,power-center,Glasstream,240 CCX,24,8.25,3300,fiberglass,1,outboard,7.3152,2.5146,18.39480192
2,5841592,power,power-bay,Glasstream,228 Bay Tournament,22.83,8,2300,fiberglass,1,outboard,6.958584,2.4384,16.96781123
3,4442873,power,power-center,Glasstream,221 CC,22,8.08,,composite,1,outboard,6.7056,2.462784,16.51444439
4,6834355,power,power-skiwake,Mastercraft,Xstar,23,8.5,5800,fiberglass,1,inboard,7.0104,2.5908,18.16254432
5,7271315,power,power-pontoon,Starcraft,SLS-1,20,8.5,1921,aluminum,1,outboard-4s,6.096,2.5908,15.7935168
6,7271334,power,power-pontoon,Starcraft,EX 22 FD,22.75,8.5,2100,aluminum,1,outboard-4s,6.9342,2.5908,17.96512536
7,7162591,power,power-other,Sea Ray,SDX 270 Outboard,27,,,fiberglass,1,outboard,8.2296,0,0
8,7271322,power,power-pontoon,Starcraft,LX 22 R,22,8,2027,aluminum,1,outboard-4s,6.7056,2.4384,16.35093504
9,7231525,power,power-saltfish,Scout,235 Dorado,23.67,8.5,,composite,1,outboard-4s,7.214616,2.5908,18.69162713
10,7109836,power,power-sportfish,Scout,355 LXF,35,10.75,9800,fiberglass,3,outboard,10.668,3.2766,34.9547688
11,6850322,power,power-mega,Azimut,Verve 40,40,,,fiberglass,3,outboard,12.192,0,0
12,7131576,power,power-sportfish,Boston Whaler,320 Vantage,32,,,fiberglass,2,outboard,9.7536,0,0
13,7271309,power,power-pontoon,Starcraft,LX 20 F,20,8,,aluminum,1,outboard-4s,6.096,2.4384,14.8644864
14,6886160,power,power-sportfish,Boston Whaler,280 Outrage,28,9.33,6200,fiberglass,2,outboard,8.5344,2.843784,24.26999017
15,7271308,power,power-center,Cape Craft,180cc,18,7.67,,fiberglass,0,,5.4864,2.337816,12.8261937
16,7271306,power,power-pontoon,Starcraft,LX 18 R,18,8,1425,aluminum,0,,5.4864,2.4384,13.37803776
17,7271303,power,power-pontoon,Starcraft,LX 18,18,8,1425,aluminum,1,outboard-4s,5.4864,2.4384,13.37803776
18,7059142,power,power-sportfish,Grady-White,Canyon 326,31,10.75,8500,fiberglass,2,outboard,9.4488,3.2766,30.95993808
19,7271298,power,power-bay,Cape Craft,190 bay,19,7.92,,fiberglass,0,,5.7912,2.414016,13.98004946
20,7248936,power,power-bass,Ranger,519 Ranger,19,8.17,,fiberglass,0,,5.7912,2.490216,14.4213389
21,7248955,power,power-bass,Ranger,518,19,8.17,,fiberglass,0,,5.7912,2.490216,14.4213389
22,7248931,power,power-bass,Ranger,250 Cc,20,8.67,,fiberglass,0,,6.096,2.642616,16.10938714
23,7248764,power,power-bay,Sea Pro,208 Bay,20.67,8.33,2250,fiberglass,1,outboard,6.300216,2.538984,15.99614762
24,6901147,power,power-sportfish,Boston Whaler,350 Realm,35,10.83,13600,fiberglass,3,outboard,10.668,3.300984,35.21489731
